time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010471349642	70.8173	24.867	2.4722	0.199979	0.0187514	lidar	0.167027	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7775	24.8527	2.36772	0.191709	0.0108793	radar	0.463084	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.94	24.7685	2.16305	-0.044616	-0.131719	lidar	1.79302	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9779	24.7849	2.21874	-0.0372504	-0.125268	radar	0.447201	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	75.0214	25.1994	2.0751	0.15962	0.0571029	lidar	1.98155	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	75.0107	25.1955	2.06353	0.156908	0.0552945	radar	0.038362	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1156	24.9878	2.08102	-0.104757	-0.122561	lidar	1.67083	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1125	24.9747	1.99012	-0.127498	-0.147546	radar	0.7095	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0896	24.9925	1.99729	-0.0374472	-0.0146701	lidar	0.980884	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.0885	24.9929	1.95492	-0.0429194	-0.0208443	radar	0.168219	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8435	24.8724	1.81314	-0.0772886	-0.029125	lidar	0.311055	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8685	24.8787	1.76373	-0.0826175	-0.0394028	radar	1.12388	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6154	24.6449	1.79493	-0.150365	-0.0544994	lidar	0.0238606	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5916	24.6351	1.72408	-0.167451	-0.0701853	radar	0.224615	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1842	24.5234	1.63684	-0.101332	0.00159447	lidar	0.347334	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1909	24.525	1.63885	-0.100054	0.00203402	radar	0.0286773	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6708	23.8701	1.57822	-0.418975	-0.168394	lidar	1.73436	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.7167	23.8849	1.62919	-0.402439	-0.157101	radar	0.648337	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9785	23.4829	1.38385	-0.399207	-0.0781606	lidar	1.02474	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0756	23.5115	1.43912	-0.357287	-0.0557982	radar	3.61347	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7409	22.808	1.80093	-0.418854	-0.0555026	lidar	1.80351	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.6762	22.7858	1.70367	-0.470984	-0.0951401	radar	0.981048	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.6131	22.2655	1.17157	-0.552463	-0.0993785	lidar	3.87703	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.648	22.2759	1.19309	-0.536063	-0.0905761	radar	0.435102	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.5329	21.6634	1.1116	-0.640497	-0.0989591	lidar	0.0987436	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.6211	21.6866	1.2248	-0.561942	-0.0444002	radar	1.94191	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.6971	21.1019	1.25301	-0.511517	0.00317917	lidar	0.157106	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7584	21.1174	1.26428	-0.483141	0.0123405	radar	1.87869	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.855	20.9005	1.12632	-0.22135	0.133933	lidar	0.976295	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9172	20.9215	1.10922	-0.192453	0.142796	radar	2.46739	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.572	20.3097	0.799173	-0.502895	-0.0771013	lidar	4.79278	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.6243	20.3261	0.902907	-0.467829	-0.0509374	radar	0.744799	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.145	19.6774	1.61291	-0.394009	0.0234868	lidar	7.59381	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	94.9987	19.6352	1.37818	-0.558055	-0.0824886	radar	4.87524	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.6262	19.5998	0.66755	-0.377788	0.0266123	lidar	6.80907	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.6433	19.5927	0.753573	-0.367035	0.0361718	radar	0.384704	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2827	19.2003	0.757622	-0.47621	-0.0329147	lidar	0.372208	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3286	19.2069	0.830696	-0.441766	-0.0112306	radar	0.536832	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4364	18.738	1.2003	-0.383876	0.0240335	lidar	2.06064	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4214	18.7316	1.15192	-0.411282	0.00535984	radar	0.166665	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2522	18.3626	0.972265	-0.40214	0.00484125	lidar	0.455929	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2658	18.3653	0.961855	-0.399719	0.00325077	radar	0.183322	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0632	17.4601	1.09114	-0.871426	-0.217108	lidar	3.02709	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
